match id,team1,team1_id,team1_roster_ids,team2,team2_id,team2_roster_ids,winner,winner_id,toss winner,toss decision,venue,city,match_dt,lighting,series_name,season,ground_id,team_count_50runs_last15,team1_winp_team2_last15,ground_avg_runs_last15,winner_01,team_winp_last14,team_avg_bowling_last15,team_avg_balls_faced_last15,team_count_4runs_last15,team_count_6runs_last15,team_avg_strike_rate_last15,team_avg_runs_last15,team_runs_consistency_last15,team_rating,team_avg_win_by_runs_last_n,team_avg_win_by_wickets_last_n,team_weighted_avg_win_amount,boundary_percentage,strike_rate_consistency,avg_wicket_count,avg_economy,avg_maiden
9516415,Mi Is,30435,238727.0:5043310.0:7537004.0:3125562.0:8191868.0:8713270.0:6249256.0:4171859.0:8227974.0:230775.0:1907352.0:8118914.0,Ci Sr Ks,30414,2653993.0:7422673.0:1945425.0:5001170.0:232000.0:1642738.0:196580.0:2294823.0:3519011.0:2658445.0:5757884.0:3130840.0,Ci Sr Ks,30414,Ci Sr Ks,field,We Sm Mi,Mumbai,08-04-2023,night match,In Pr Le,2023,5004,0.9375,33.33,164.4666667,1,0.836981304,1.03194671,0.6875,0.853881279,0.841666667,1.102499469,1.255583807,1.02499873,0.875842405,0.351239669,0.918367347,0.41868932,1.041882546,1.019295049,0.652631579,0.966100577,1.008700038
9592470,Mi Is,30435,5043310.0:238727.0:7537004.0:3125562.0:8191868.0:6249256.0:8058924.0:2022957.0:8227974.0:230775.0:1907352.0:8442286.0,Lw Sr Gs,48334,2436405.0:6698110.0:3299407.0:2275097.0:8058903.0:4230127.0:3479860.0:2970652.0:8228100.0:5554142.0:7924048.0:7491385.0,Mi Is,30435,Mi Is,bat,MA Cm Sm Ck Ci,Chennai,24-05-2023,night match,In Pr Le,2023,2050,1,0,159.1071429,0,0.877192982,0.282122352,0.845300642,1.015228426,0.905982906,1.129547215,1.292783532,1.094202315,0.904676719,0.458181818,2.37037037,0.575654152,1.041105469,0.838282094,0.517241379,1.09094331,0.995968992
9128510,Ka Kt Rs,30400,5959834.0:37351.0:4497646.0:1613919.0:4231702.0:1663885.0:1934099.0:3429236.0:8779896.0:2632825.0:7758638.0,Ss Hd,36014,7491294.0:1945355.0:3127354.0:4203499.0:4230127.0:2642751.0:3693654.0:4874820.0:2282125.0:5618038.0:8725709.0,Ss Hd,36014,Ss Hd,field,Be Sm Mi,Mumbai,15-04-2022,night match,In Pr Le,2022,2764,1.307692308,100,183.625,1,1.778534459,1.455582074,1.079051383,1.198863636,1.28125,1.006152003,1.037329966,1.044408913,1.100470958,5.842105263,1.468085106,3.119205298,1.051508853,1.272551643,1.098591549,0.962269104,1.006441834
9085222,Le,8301,4873028.0:6176246.0:3218291.0:3643870.0:2658431.0:4887336.0:6003584.0:7651657.0:8845850.0:5554142.0:5528116.0,Ne,8987,4003390.0:1749075.0:3651472.0:5516720.0:125915.0:34061.0:130437.0:6019306.0:4420828.0:2083157.0:2295642.0,Le,8301,Le,bat,Tt Be Nm,Nottingham,21-06-2022,day/night match,Vy Bt,2022,251,0.714285714,33.33,146.8214286,0,0.877192982,1.001435621,0.841346154,0.782857143,0.816901408,1.023983873,1.073615832,1.002422959,0.984954604,0.917695473,1.02173913,0.929354446,0.965745947,0.856858196,0.948979592,0.971687398,1.0125
9085320,Ye,10618,6718326.0:1762060.0:3294444.0:2157770.0:6381962.0:6460614.0:5367676.0:5361166.0:8050160.0:7804677.0:4527942.0,Ne,8917,6374878.0:2286472.0:2158869.0:4645304.0:2858904.0:2486896.0:3636821.0:3648203.0:164604.0:2087700.0:2082387.0,Ye,10618,Ne,field,Cy Gd Nn,Northampton,24-06-2022,day/night match,Vy Bt,2022,1637,1.1,100,172.6818182,0,0.877192982,1.596865773,1.12012012,1.113333333,1.875,1.06419123,1.099013525,1.110382535,1.154948994,2.190184049,0.807692308,1.94772344,1.041096973,1.06362928,1.126760563,0.933874212,0.998574945
9516632,Rl Cs Be,30393,1776627.0:313809.0:7861524.0:2275195.0:7586970.0:210328.0:5972868.0:5490666.0:212029.0:6586824.0:2018001.0:2733380.0,Lw Sr Gs,48334,2436405.0:8058903.0:3299407.0:3479860.0:2275097.0:4230127.0:2970652.0:8228100.0:217762.0:5554142.0:2954769.0:7491385.0,Rl Cs Be,30393,Rl Cs Be,bat,Bt Ra Si Al Bi Ve Ea Ct Sm Lw,Lucknow,01-05-2023,night match,In Pr Le,2023,23498,0.944444444,100,146.45,0,0.890488589,0.580637474,1.216031836,1.323529412,0.925619835,0.989481469,1.237300417,1.140050802,1.025910723,1.025925926,2.481481481,1.116898148,0.998051629,0.912779466,0.674796748,1.052495823,1.021013809
9272689,Sy Ss,33956,7869987.0:1870357.0:3535783.0:41740.0:3063696.0:34061.0:8146998.0:4756982.0:2790675.0:49496.0:8355808.0,Ae Ss,33914,4239038.0:3710090.0:2285051.0:3681957.0:387778.0:8415854.0:7455818.0:2286388.0:6718844.0:5863290.0:3890998.0,Sy Ss,33956,Ae Ss,field,Il Ss Sm Cs Hr,Coffs Harbour,17-01-2023,night match,Bg Bh Le,2022/23,11206,1.666666667,75,151.5,0,1.280196078,2.768631369,1.319206492,1.468468468,1.076923077,0.991481158,1.142737201,1.190541992,1.052581715,1.142857143,1.6875,1.186868687,0.994508953,1.338354407,1.515625,0.912857295,1.032967033
9639125,An,293,6818622.0:5554212.0:6450576.0:181404.0:3668356.0:5736016.0:5554282.0:5554254.0:6818776.0:6819238.0:6817628.0,Bh,188,3758565.0:6551978.0:4403419.0:6930230.0:393014.0:8127321.0:4403454.0:6486416.0:2316327.0:2436356.0:3769555.0,Bh,188,Bh,field,St Il Ct Sm,Sylhet,16-07-2023,day/night match,An tr of Bh,2023,10961,2,50,162.4090909,1,1,1.036307921,1.21420765,1.142857143,2.956521739,1.146528977,1.310414078,1.17877432,1.129256966,1.727642276,0.653846154,1.595011876,1.014881861,0.992137896,1.166666667,1.011151302,1.020289855
9433696,Ex,7258,4489974.0:6065548.0:5406064.0:6364588.0:5788320.0:5436878.0:7671306.0:3030733.0:8044490.0:7688848.0:6258734.0,He,7727,4223883.0:2076192.0:8822729.0:5241564.0:2020332.0:3162487.0:1482249.0:1482998.0:2173688.0:5788418.0:8833075.0,He,7727,He,field,Te Re Bl Sn,Southampton,23-06-2023,day/night match,Vy Bt,2023,8301,1.083333333,25,146.2,1,0.820535378,0.898299681,0.838616715,0.947368421,0.836956522,1.07029295,0.994227994,0.862978802,0.866508005,0.565306122,1.186440678,0.611460957,1.033810351,1.010200201,1.012345679,1.052045785,1.011904762
9657059,Ra,1350,8058805.0:8089192.0:8089276.0:8058812.0:8964668.0:8913876.0:8058798.0:8089206.0:8964710.0:8058840.0:8913897.0,Ua,251,1634709.0:3719197.0:9663968.0:7906968.0:5120674.0:8246440.0:8246419.0:8964843.0:182986.0:7753549.0:2943443.0,Ua,251,Ra,bat,Ga Cb Gd Ni,Nairobi,11-06-2023,day match,Ua tr of Ka,2023,4913,0.5,0,132,1,0.013157895,0.005903188,0.015625,0.090909091,0.333333333,0.00962711,0.028846154,0.029652087,0.945847277,0.263157895,0.365853659,0.296442688,0.638148668,0.016491175,0.090909091,0.11774945,0.851851852
9457468,Cm Cs,40424,7864009.0:4502392.0:6551978.0:2804122.0:5736100.0:393182.0:2820957.0:7084972.0:6149268.0:4403468.0:351448.0,Ca Vs,40298,3758565.0:2263736.0:1965151.0:2331475.0:5771800.0:5017144.0:3850944.0:3850972.0:6528668.0:6931168.0:4769148.0,Ca Vs,40298,Cm Cs,bat,Zr Ad Cy Sm Cm,Chattogram,16-01-2023,night match,Bh Pr Le,2022/23,13530,0.888888889,0,157.1666667,1,0.924509804,0.582102908,0.535519126,0.465277778,0.428571429,0.739651179,0.910122774,1.089906878,0.899483836,0.364102564,1.032258065,0.42812983,0.995831509,0.721527828,0.649122807,1.102169698,0.959016393
9866373,Oo,18360,2319638.0:8444855.0:4172706.0:7907444.0:6317142.0:7918280.0:8354716.0:7907479.0:3490150.0:7213856.0:4195827.0,Wn,18570,9036516.0:8271969.0:3913447.0:9523954.0:8354786.0:6718410.0:7907486.0:3083667.0:4950294.0:4950266.0:4195708.0,Wn,18570,Oo,bat,Mx Pk Aa,Alexandra,28-12-2023,day/night match,Sr Sh,2023/24,5382,0.8,0,,1,0.579803922,0.121680741,0.815267176,0.864197531,0.740740741,1.034694199,0.915420422,0.981672014,0.830140485,0.230452675,0.315789474,0.245175936,1.003101481,0.970147238,0.587301587,1.184013413,0.945454545
9680264,Da Aa,47508,5490596.0:4403531.0:4403545.0:4223883.0:3260564.0:2335381.0:4769148.0:4771780.0:5047300.0:4403573.0:8277716.0,Co Ss,47487,7200598.0:2437021.0:3008291.0:7520344.0:2104416.0:3364234.0:2437049.0:4365878.0:8106629.0:8363578.0:2590293.0,Da Aa,47508,Da Aa,bat,R Pa Sm Co,Colombo,12-08-2023,night match,La Pr Le,2023,7041,1.7,80,137.8,0,1.162790698,0.930411207,1.118115461,1.14619883,1.78,1.210758711,1.40171165,1.272096462,0.98355543,0.858156028,1.028571429,0.882352941,1.022751438,1.149781643,0.8,0.946531727,1.069672131
9352356,Ed,20,2082044.0:6282856.0:1655436.0:6381962.0:62432.0:2162782.0:2827327.0:4640824.0:1711492.0:4174932.0:7276380.0,Nw Zd,48,6718326.0:2653993.0:4381761.0:5764576.0:3069954.0:2672214.0:3519011.0:3156033.0:3913475.0:1626561.0:3456424.0,Ed,20,Ed,bat,Od Td Mr,Manchester,01-09-2023,night match,Nw Zd tr of Ed,2023,538,1.571428571,50,149.0666667,0,1.245786034,1.125144844,1.198188599,1.442105263,1.433962264,1.124545943,1.344810623,1.275210842,0.899031812,0.689984102,1.528571429,0.747903305,1.015620961,0.894479861,0.95412844,0.992421826,0.976230492
9433598,Ne,8917,4873700.0:8040164.0:2286472.0:6640178.0:4645304.0:2157770.0:3216569.0:3648203.0:3636821.0:2082387.0:8040136.0,Ye,10618,1762060.0:1655436.0:8033304.0:1637320.0:8050160.0:3620742.0:1547993.0:7651657.0:5367676.0:4527942.0:8070915.0,Ne,8917,Ne,bat,Hy Ls,Leeds,20-06-2023,day match,Vy Bt,2023,1266,0.916666667,0,169.8,0,0.781130342,1.61,0.940594059,1,0.88,0.916389626,0.919743033,1.001690236,0.836383208,0.482965932,1.122807018,0.528243327,0.988140063,0.988034682,1.079545455,0.999837759,1.016244314
9432989,Bm Bs,10366,2124002.0:7681869.0:3612286.0:3890963.0:8210789.0:8044112.0:1730658.0:7184666.0:2170762.0:3245689.0:2855138.0,Ye,10618,1762060.0:1655436.0:2082044.0:1637320.0:6095508.0:8050160.0:7651657.0:5367676.0:4527942.0:8070915.0:8027396.0,Bm Bs,10366,Ye,field,En Bm,Birmingham,20-05-2023,day/night match,Vy Bt,2023,1161,0.8,50,148.9666667,0,1.14,1.513865031,0.960164835,0.899497487,0.941176471,0.98056472,0.914137357,1.005659385,0.926678849,0.74047619,1.071428571,0.761160714,0.977939384,1.031230816,1.372881356,0.935098892,1.003643253
9027381,Ad,17583,1945390.0:5764576.0:4949776.0:7873984.0:3935854.0:3913440.0:8765154.0:3456424.0:270262.0:8354835.0:7878765.0,Cy,17653,2659243.0:4381747.0:4381705.0:3682160.0:3834361.0:8706179.0:6739830.0:1495731.0:4136404.0:8482788.0:3834319.0,Cy,17653,Cy,field,En Pk Ad,Auckland,07-01-2022,day/night match,Sr Sh,2021/22,1994,0.75,0,108.5,1,0.733918129,1.025511763,0.927637315,0.678832117,1.046153846,0.978330709,0.989488231,1.039072159,1.021399653,1.423076923,0.482142857,1.174528302,0.985812126,0.937331904,0.825396825,0.99065044,1.016666667
9271765,Ky Fs,47480,5506486.0:4403538.0:5490624.0:6710850.0:3668356.0:5490666.0:4690104.0:4365878.0:8136659.0:6401982.0:2691688.0,Da Aa,47508,7787772.0:8363221.0:2097017.0:2398346.0:3061225.0:8520105.0:8464343.0:8277716.0:5548318.0:8067037.0:5786836.0,Ky Fs,47480,Ky Fs,bat,R Pa Sm Co,Colombo,18-12-2022,night match,La Pr Le,2022/23,7041,0.714285714,66.67,129.9333333,0,1.195219124,1.577274209,1.052631579,0.877777778,0.909090909,0.958802919,0.777771431,0.928742869,1.100827912,1.970588235,2.047619048,1.979885057,0.944462417,0.898059941,1.780487805,1.002898136,0.975445852
9076815,Mr Gp Da,40452,2939124.0:393371.0:6930580.0:392188.0:1934099.0:391621.0:2820957.0:2296195.0:393889.0:2104346.0:6526498.0,Ka Ts,42573,6930174.0:363047.0:2104332.0:392216.0:4403426.0:1634611.0:5831622.0:391271.0:392979.0:5554142.0:2630081.0,Ka Ts,42573,Ka Ts,field,Se Ba Nl Sm Mr,Dhaka,21-01-2022,night match,Bh Pr Le,2021/22,14188,0.6,0,112.8846154,1,1,0.414089699,1.314637483,1.19047619,0.975,0.998210088,1.290700941,0.950652806,1,1,1,1,0.960787763,0.740314475,1.026315789,1.124772164,1.023255814
9331097,Ga,12389,5785492.0:4944400.0:8041445.0:5699700.0:7586970.0:2956407.0:3509428.0:8422987.0:2034479.0:5062462.0:5758766.0:5758780.0,Di,12046,5636658.0:6785666.0:9047499.0:7861524.0:4231702.0:8058903.0:6511336.0:8149315.0:4901182.0:7581244.0:6619794.0:9047954.0,Di,12046,Di,field,Si Mh Sm Jr,Jaipur,20-10-2022,day match,Sd Mq Ai Ty,2022/23,4661,0.142857143,0,127.9,1,0.744918033,2.015165877,0.233862434,0.19047619,0.225806452,0.778650845,0.751558164,1.040973022,0.853155973,0.245967742,0.964285714,0.29625,0.974022164,0.958114174,0.6875,0.872413579,1.175115207
9290966,Ia,55,2954769.0:1776627.0:3125562.0:6521080.0:3479860.0:210328.0:3882850.0:184960.0:3130840.0:2282125.0:7881845.0,An,293,5554212.0:6818622.0:6450576.0:5554282.0:3668356.0:181404.0:5736016.0:5554254.0:6818776.0:3976965.0:6819238.0,Ia,55,An,field,Di Il Ct Sm,Dubai,08-09-2022,night match,Ia tr of Ud Ab Es,2022,17086,2.857142857,100,145.1333333,0,1.488600091,0.465636364,2.211891892,2.693181818,2.020408163,1.201876177,1.397056605,1.318667573,1.110423826,1.291764706,2.964285714,1.362133734,1.010252401,0.868968177,0.825,1.078622432,0.998810939
9051055,Mn Ss,44904,1637320.0:2263736.0:302875.0:2231928.0:6249256.0:5017144.0:2157770.0:2214554.0:8427978.0:284339.0:8109779.0,Qa Gs,40592,2437035.0:7694581.0:3651472.0:1594333.0:7881866.0:3364234.0:2437049.0:1893401.0:302868.0:8106629.0:8106713.0,Mn Ss,44904,Qa Gs,field,Nl Sm Ki,Karachi,31-01-2022,night match,Pn Sr Le,2021/22,3422,2.142857143,50,169.4666667,0,2.405384615,1.155629139,1.524605385,1.569105691,1.862068966,1.127015576,1.217768977,1.180577936,1.230508475,5.363636364,1.608695652,4.545023697,1.017316728,0.960790644,0.868852459,0.90614951,1.038011696
9272437,Sy Tr,33963,1749075.0:7572123.0:2231928.0:7534652.0:5788320.0:2335381.0:5497274.0:5509524.0:3497633.0:6521234.0:6819238.0,Ae Ss,33914,5469008.0:4239038.0:2286472.0:3681957.0:387778.0:8415854.0:4992378.0:5554254.0:6718844.0:5863290.0:55299.0,Ae Ss,33914,Sy Tr,bat,Ae Ol,Adelaide,20-12-2022,night match,Bg Bh Le,2022/23,930,1.555555556,40,155.9666667,1,1,1.157345092,0.866849691,0.99375,1.157142857,1.14020693,1.041253081,1.194530871,0.893469971,0.596153846,0.914285714,0.615318417,1.036073306,1.085151532,1.178082192,0.967752761,0.983491394
9489444,Ln St,46773,4655384.0:3200973.0:4489974.0:1611364.0:2672214.0:74087.0:5436878.0:1482998.0:5367676.0:5788418.0:3901099.0,Wh Fe,46752,4421689.0:2082044.0:4003390.0:2450895.0:3239102.0:5764576.0:2157770.0:334963.0:3546297.0:3456424.0:2538983.0,Wh Fe,46752,Ln St,bat,Sa Gs Cf,Cardiff,20-08-2023,night match,Te Hd Ms Cn,2023,4521,0.80952381,0,151.1,1,1.483260061,0.881920154,1.163098879,1.167381974,0.964285714,0.985375825,0.996101939,0.893138779,1.04529941,2.063829787,0.916666667,1.772486772,1.008350191,1.029303571,1.040983607,1.035363988,0.995412844
9176320,Nw Zd,48,1585457.0:6718326.0:3083632.0:2672214.0:5764576.0:2486896.0:3519011.0:3913475.0:3456424.0:6718396.0:5984376.0,Ns,118,1635997.0:4502392.0:7253350.0:1539208.0:7891232.0:7905309.0:3083667.0:8354849.0:4164985.0:8947777.0:8404325.0,Nw Zd,48,Nw Zd,bat,Sk Wt Te He,The Hague,04-08-2022,day/night match,Nw Zd tr of Ns,2022,17765,2.8,0,,0,1.90183513,3.753835585,3.409090909,3.015384615,7,0.951358949,1.221774059,1.112917371,1.538731272,37.66666667,1.689655172,17.40776699,1.02445135,0.960765574,4.642857143,1.051291121,0.970921335
9388483,Ad,17583,1945390.0:8765154.0:8144184.0:3935854.0:4949776.0:3913440.0:6718438.0:5560190.0:7565697.0:8354835.0:7878765.0,Cl Ds,17744,8212917.0:3558316.0:3834256.0:3083632.0:8354800.0:4950364.0:8447396.0:8435699.0:4170494.0:9475766.0:6496118.0,Cl Ds,17744,Cl Ds,field,En Pk Or Ol Ad,Auckland,14-01-2023,day match,Sr Sh,2022/23,5081,0.8,66.67,133.2222222,1,0.719803922,1.536034115,0.994291151,0.776119403,0.833333333,0.932340087,0.732946668,0.792040239,0.963285287,0.766839378,1,0.790046656,0.946265215,0.985354308,1.658536585,1.052370584,1.013888889
9290609,Pn,62,2263736.0:2437021.0:8180570.0:1637320.0:3364234.0:2437049.0:5017144.0:8106629.0:2437077.0:8131255.0:8427978.0,Ed,20,4685568.0:1749075.0:1655436.0:3651472.0:6381962.0:62432.0:4640824.0:2157770.0:1711492.0:4012203.0:3312350.0,Ed,20,Ed,field,Nl Sm Ki,Karachi,20-09-2022,night match,Ed tr of Pn,2022,3422,1.375,33.33,172.8666667,1,1.122979016,0.643701909,1.127485977,1.012396694,0.899082569,0.877610781,1.107269762,1.230185962,1.016599598,1.044776119,1.217391304,1.070063694,0.952902326,0.907392921,0.780952381,1.026823011,0.990247562
9407614,Pa Cs,48929,4685568.0:6282856.0:2231928.0:3406717.0:3747764.0:4167855.0:2486896.0:1858961.0:4888414.0:1711492.0:3373866.0,Ss En Ce,48943,1963443.0:2269833.0:7787772.0:4203499.0:4171859.0:3239102.0:3162487.0:4874820.0:2658445.0:4626236.0:3747484.0,Pa Cs,48929,Ss En Ce,field,St Gs Pk Ga,Gqeberha,12-01-2023,day/night match,S0,2022/23,1224,0.916666667,0,140.2666667,0,1,0.839261335,0.946365561,1.202614379,0.957142857,1.042257447,0.913130247,1.006833129,1,1,1,1,1.01271188,,0.851485149,1.016372659,1.022634508
9823057,Ud Ab Es,202,8688952.0:7990828.0:8250115.0:2206637.0:8127279.0:8463783.0:8489816.0:8688973.0:4767482.0:2691688.0:9471244.0,Nl,237,5563004.0:7409611.0:4908518.0:7993551.0:7507429.0:5562962.0:8776767.0:5604738.0:8127167.0:8296644.0:7409569.0,Nl,237,Nl,field,Mi Ct Gd,Kathmandu,23-10-2023,day match,Ud Ab Es tr of Nl,2023/24,24044,2,66.67,146.5,1,0.718309859,1.536261148,0.888,0.933333333,4.5,1.36356942,1.264705882,1.640909839,1.196428571,5.12962963,0.814814815,3.403703704,1.018880351,1.126783355,1.851851852,1.050607294,0.981104651
9516730,Mi Is,30435,5043310.0:238727.0:3125562.0:8058924.0:5126064.0:6249256.0:7537004.0:2022957.0:230775.0:1907352.0:8118914.0:8442286.0,Gt Ts,48341,1958683.0:7491224.0:4377610.0:3339160.0:2252452.0:5452754.0:2966879.0:5554254.0:8277716.0:4690230.0:3373285.0:3759846.0,Mi Is,30435,Gt Ts,field,We Sm Mi,Mumbai,12-05-2023,night match,In Pr Le,2023,5004,1.133333333,100,171.7,0,0.671772094,0.498201843,0.720112518,0.79253112,1.056074766,1.161078268,1.01912215,0.999933311,0.917399414,0.497487437,0.918032787,0.568845619,1.041444606,1.18152004,0.672131148,1.037899925,0.996792302
9692472,Ia,55,8058959.0:7422673.0:8191868.0:2981614.0:5061748.0:5001170.0:5038018.0:7881845.0:4377694.0:8228100.0:6420126.0,Id,216,2123974.0:2124002.0:6496412.0:6729862.0:4171460.0:2436251.0:3685100.0:2436426.0:2550414.0:6496482.0:6496426.0,Ia,55,Id,field,Me Dn,Dublin,20-08-2023,day match,Ia tr of Id,2023,6831,3,100,160.3333333,0,1.325581395,0.533113674,1.163170163,1.242857143,2.088888889,1.087617795,1.312097502,1.214054884,1.486492948,2.954954955,1.546666667,2.771105309,1.054163826,1.124235326,0.803921569,1.057391664,1.042553191
